Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10032_001,SE_A10032_002,SE_A10032_003,SE_A10032_004,SE_A10032_005,SE_A10032_006,SE_A10032_007,SE_A10032_008,SE_A10032_009,SE_A10032_010,SE_A10032_011,SE_A10032_012
"060371863011","15000US060371863011","Block Group 1, Census Tract 1863.01, Los Angeles County, California","Block Group 1, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015231",,,,,"06","037",,,,"186301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,249,231,18,17,41,16,5,46,0,0,0
"060371863012","15000US060371863012","Block Group 2, Census Tract 1863.01, Los Angeles County, California","Block Group 2, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015232",,,,,"06","037",,,,"186301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,65,58,7,0,28,10,115,20,0,0,0
"060371863013","15000US060371863013","Block Group 3, Census Tract 1863.01, Los Angeles County, California","Block Group 3, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015233",,,,,"06","037",,,,"186301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,88,83,5,5,19,44,135,47,0,0,0
"060371863021","15000US060371863021","Block Group 1, Census Tract 1863.02, Los Angeles County, California","Block Group 1, Census Tract 1863.02, Los Angeles County, California","ca","150","00","ACSSF","0015234",,,,,"06","037",,,,"186302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,346,319,27,0,101,66,11,10,30,0,0
"060371864011","15000US060371864011","Block Group 1, Census Tract 1864.01, Los Angeles County, California","Block Group 1, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015237",,,,,"06","037",,,,"186401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,157,123,34,81,39,72,228,65,35,0,0
"060371864012","15000US060371864012","Block Group 2, Census Tract 1864.01, Los Angeles County, California","Block Group 2, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015238",,,,,"06","037",,,,"186401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,100,100,0,9,10,79,65,23,93,0,0
"060371864031","15000US060371864031","Block Group 1, Census Tract 1864.03, Los Angeles County, California","Block Group 1, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015239",,,,,"06","037",,,,"186403","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,230,182,48,15,69,10,26,0,0,0,0
"060371864032","15000US060371864032","Block Group 2, Census Tract 1864.03, Los Angeles County, California","Block Group 2, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015240",,,,,"06","037",,,,"186403","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,362,346,16,27,14,53,49,0,0,8,0
"060371871011","15000US060371871011","Block Group 1, Census Tract 1871.01, Los Angeles County, California","Block Group 1, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015243",,,,,"06","037",,,,"187101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,432,327,105,13,48,48,0,8,0,0,0
"060371871012","15000US060371871012","Block Group 2, Census Tract 1871.01, Los Angeles County, California","Block Group 2, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015244",,,,,"06","037",,,,"187101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,530,489,41,30,0,160,52,0,0,0,0
"060371871021","15000US060371871021","Block Group 1, Census Tract 1871.02, Los Angeles County, California","Block Group 1, Census Tract 1871.02, Los Angeles County, California","ca","150","00","ACSSF","0015245",,,,,"06","037",,,,"187102","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,199,180,19,4,104,33,9,38,30,0,0
"060371871022","15000US060371871022","Block Group 2, Census Tract 1871.02, Los Angeles County, California","Block Group 2, Census Tract 1871.02, Los Angeles County, California","ca","150","00","ACSSF","0015246",,,,,"06","037",,,,"187102","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,509,394,115,31,166,23,69,0,0,0,0
"060371881001","15000US060371881001","Block Group 1, Census Tract 1881, Los Angeles County, California","Block Group 1, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015251",,,,,"06","037",,,,"188100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,428,268,160,32,69,42,49,80,455,0,0
"060371881002","15000US060371881002","Block Group 2, Census Tract 1881, Los Angeles County, California","Block Group 2, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015252",,,,,"06","037",,,,"188100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,206,179,27,11,68,23,13,0,0,0,0
"060371881003","15000US060371881003","Block Group 3, Census Tract 1881, Los Angeles County, California","Block Group 3, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015253",,,,,"06","037",,,,"188100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,159,146,13,39,57,16,0,46,0,0,0
"060371883001","15000US060371883001","Block Group 1, Census Tract 1883, Los Angeles County, California","Block Group 1, Census Tract 1883, Los Angeles County, California","ca","150","00","ACSSF","0015260",,,,,"06","037",,,,"188300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,378,331,47,41,23,9,0,0,4,0,0
"060371883002","15000US060371883002","Block Group 2, Census Tract 1883, Los Angeles County, California","Block Group 2, Census Tract 1883, Los Angeles County, California","ca","150","00","ACSSF","0015261",,,,,"06","037",,,,"188300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,462,417,45,88,5,10,0,0,0,0,0
"060371883003","15000US060371883003","Block Group 3, Census Tract 1883, Los Angeles County, California","Block Group 3, Census Tract 1883, Los Angeles County, California","ca","150","00","ACSSF","0015262",,,,,"06","037",,,,"188300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,351,236,115,121,0,0,0,0,0,0,0
