Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10032_001,SE_A10032_002,SE_A10032_003,SE_A10032_004,SE_A10032_005,SE_A10032_006,SE_A10032_007,SE_A10032_008,SE_A10032_009,SE_A10032_010,SE_A10032_011,SE_A10032_012
"060372190203","15000US060372190203","Block Group 3","Block Group 3, Census Tract 2190.20, Los Angeles County, California","ca","150","00","ACSSF","0015884",,,,,"06","037",,,,"219020","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,196,167,29,58,70,0,41,0,0,0,0
"060372314001","15000US060372314001","Block Group 1","Block Group 1, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016055",,,,,"06","037",,,,"231400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,337,229,108,20,22,54,0,54,0,0,0
"060372314002","15000US060372314002","Block Group 2","Block Group 2, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016056",,,,,"06","037",,,,"231400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,445,104,341,7,28,10,34,64,0,0,0
"060372314003","15000US060372314003","Block Group 3","Block Group 3, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016057",,,,,"06","037",,,,"231400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,409,263,146,62,11,26,0,0,0,0,0
"060372315002","15000US060372315002","Block Group 2","Block Group 2, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016059",,,,,"06","037",,,,"231500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,393,302,91,0,49,46,10,72,0,0,0
"060372315003","15000US060372315003","Block Group 3","Block Group 3, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016060",,,,,"06","037",,,,"231500","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,371,371,0,0,20,0,0,37,38,0,0
"060372340001","15000US060372340001","Block Group 1","Block Group 1, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016105",,,,,"06","037",,,,"234000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702,557,456,101,44,25,0,0,67,0,9,0
"060372340002","15000US060372340002","Block Group 2","Block Group 2, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016106",,,,,"06","037",,,,"234000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,260,260,0,0,0,0,0,0,0,0,0
"060372340003","15000US060372340003","Block Group 3","Block Group 3, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016107",,,,,"06","037",,,,"234000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,303,291,12,0,0,0,9,0,0,0,0
"060372340004","15000US060372340004","Block Group 4","Block Group 4, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016108",,,,,"06","037",,,,"234000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,394,385,9,69,93,66,0,0,0,0,0
"060372340005","15000US060372340005","Block Group 5","Block Group 5, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016109",,,,,"06","037",,,,"234000","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,131,117,14,62,8,0,11,0,8,9,0
"060372342001","15000US060372342001","Block Group 1","Block Group 1, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016110",,,,,"06","037",,,,"234200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,365,345,20,0,0,13,0,0,0,0,0
"060372342002","15000US060372342002","Block Group 2","Block Group 2, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016111",,,,,"06","037",,,,"234200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,195,185,10,0,14,0,40,15,11,0,0
"060372342003","15000US060372342003","Block Group 3","Block Group 3, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016112",,,,,"06","037",,,,"234200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,446,441,5,0,0,85,0,0,0,0,0
"060372343001","15000US060372343001","Block Group 1","Block Group 1, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016113",,,,,"06","037",,,,"234300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,182,80,102,10,267,199,66,0,0,0,0
"060372343002","15000US060372343002","Block Group 2","Block Group 2, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016114",,,,,"06","037",,,,"234300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,145,108,37,61,167,202,11,0,39,0,0
"060372343003","15000US060372343003","Block Group 3","Block Group 3, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016115",,,,,"06","037",,,,"234300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593,97,97,0,90,121,217,68,0,0,0,0
"060372343004","15000US060372343004","Block Group 4","Block Group 4, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016116",,,,,"06","037",,,,"234300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,203,203,0,38,161,40,106,41,0,0,0
