Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A14006_001,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A14008_001,SE_A14010_001,SE_A14011_001,SE_A14012_001,SE_A14013_001,SE_A14014_001,SE_A14014_002,SE_A14014_003,SE_A14014_004,SE_A14014_005,SE_A14014_006,SE_A14014_007,SE_A15001_001,SE_A15001_002,SE_A15001_003,SE_A15001_004,SE_A15001_005,SE_A15001_006,SE_A15001_007,SE_A15001_008,SE_A15001_009,SE_A15001_010,SE_A15001_011,SE_A15001_012,SE_A15001_013,SE_A15001_014,SE_A15001_015,SE_A15001_016,SE_A15001_017,SE_A15001_018,SE_A14015_001,SE_A14015_002,SE_A14015_003,SE_A10011_001,SE_A10011_002,SE_A10011_003,SE_A10019_001,SE_A10019_002,SE_A10019_003,SE_A10016_001,SE_A10016_002,SE_A10016_003,SE_A10012_001,SE_A10012_002,SE_A10012_003,SE_A10017_001,SE_A10017_002,SE_A10017_003,SE_A10018_001,SE_A10018_002,SE_A10018_003,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A10015_001,SE_A10015_002,SE_A10015_003,SE_A10013_001,SE_A10013_002,SE_A10013_003,SE_A14024_001,SE_A14024A_001,SE_A14024B_001,SE_A14024C_001,SE_A14024D_001,SE_A14024E_001,SE_A14024F_001,SE_A14024G_001,SE_A14024H_001,SE_A14024I_001
"060372190203","15000US060372190203","Block Group 3","Block Group 3, Census Tract 2190.20, Los Angeles County, California","ca","150","00","ACSSF","0015884",,,,,"06","037",,,,"219020","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078,1078,14089.02,0.0765134819157463,323,46,21,0,36,16,8,0,11,0,46,61,51,0,16,0,11,57837,57837,,,,,,,,,,55406.5015479876,58269,61678.6956521739,,31267.7419354839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,251,72,323,240,83,323,11,312,323,9,314,323,75,248,323,8,315,323,42,281,323,53,270,323,56,267,17863,14741,21390,,,,13105,,13959,17150
"060372314001","15000US060372314001","Block Group 1","Block Group 1, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016055",,,,,"06","037",,,,"231400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1315,16860.23,0.0779941837568359,434,70,56,14,9,22,14,76,0,0,43,42,59,8,10,11,0,36905,36905,,,,,,,,,,46041.0138248848,55363,48074.0425531915,,42048.2412060302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,309,125,434,309,125,434,53,381,434,10,424,434,120,314,434,56,378,434,32,402,434,97,337,434,10,424,15951,17488,19435,,19487,,13550,,13436,59208
"060372314002","15000US060372314002","Block Group 2","Block Group 2, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016056",,,,,"06","037",,,,"231400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734,1734,21960.75,0.0789590530921379,571,64,55,37,23,125,17,37,11,0,13,21,41,40,54,33,0,29111,29111,,,,,,,,,,52613.6602451839,29111,47069.0909090909,27121,59058.6021505376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,466,105,571,449,122,571,115,456,571,49,522,571,134,437,571,55,516,571,0,571,571,48,523,571,23,548,19116,19622,23159,,,,12861,,10827,51181
"060372314003","15000US060372314003","Block Group 3","Block Group 3, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016057",,,,,"06","037",,,,"231400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607,1607,19401.25,0.0828297273964204,508,54,19,11,8,10,43,38,20,37,60,53,53,51,21,9,21,51346,51346,,,,,,,,,,63932.6771653543,54769,68801.4577259475,,46958.7878787879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,395,113,508,363,145,508,137,371,508,67,441,508,211,297,508,69,439,508,0,508,508,80,428,508,23,485,22686,22718,29460,,,,19591,,20794,
"060372315002","15000US060372315002","Block Group 2","Block Group 2, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016059",,,,,"06","037",,,,"231500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2113,2113,18341.56,0.115202850360697,529,97,10,10,28,14,36,62,0,80,31,37,41,46,0,9,28,45457,45457,,,,,,,,,,91001.3232514178,38472,74207.6109936575,,26341.0714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529,439,90,529,411,118,529,72,457,529,37,492,529,121,408,529,73,456,529,85,444,529,96,433,529,28,501,25367,32440,32640,,,,9175,20589,21222,
"060372315003","15000US060372315003","Block Group 3","Block Group 3, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016060",,,,,"06","037",,,,"231500","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410,1410,12121.43,0.116322932770345,432,10,38,32,20,0,8,26,0,74,10,33,96,53,11,21,0,59500,59500,,,,,,,,,,66387.5,83625,78617.6470588235,30313,38828.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,274,158,432,274,158,432,74,358,432,36,396,432,189,243,432,46,386,432,10,422,432,54,378,432,28,404,22533,31400,23559,,29272,,19070,,20596,
"060372340001","15000US060372340001","Block Group 1","Block Group 1, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016105",,,,,"06","037",,,,"234000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,1890,14922.33,0.126655799177448,628,106,25,42,8,39,9,47,30,24,36,76,36,45,60,45,0,48333,48333,,,,,,,,,,60543.152866242,73306,79354.8309178744,,19966.8224299065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,458,170,628,419,209,628,82,546,628,22,606,628,178,450,628,10,618,628,21,607,628,109,519,628,99,529,22399,19185,27207,,,,17583,,14416,
"060372340002","15000US060372340002","Block Group 2","Block Group 2, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016106",,,,,"06","037",,,,"234000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,612,7175.326,0.0852922870685115,260,0,14,0,0,8,35,9,0,9,8,21,11,24,51,62,8,115625,115625,,,,,,,,,,106238.076923077,128897,120488.571428571,,61170.5882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,207,53,260,207,53,260,18,242,260,28,232,260,62,198,260,24,236,260,0,260,260,70,190,260,25,235,46945,92999,48457,,,,,,,92999
"060372340003","15000US060372340003","Block Group 3","Block Group 3, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016107",,,,,"06","037",,,,"234000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,781,7917.104,0.0986471751992673,299,18,0,0,0,20,11,21,15,20,0,25,29,28,13,27,72,89716,89716,,,,,,,,,,122867.892976589,107891,137189.847715736,,95206.862745098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,222,77,299,222,77,299,81,218,299,99,200,299,95,204,299,26,273,299,0,299,299,111,188,299,13,286,48602,91751,37233,,,,,129989,126371,83200
"060372340004","15000US060372340004","Block Group 4","Block Group 4, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016108",,,,,"06","037",,,,"234000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307,1307,16855.03,0.0775436025186217,580,92,55,37,17,10,9,0,0,13,27,111,110,45,17,37,0,64097,64097,,,,,,,,,,63028.7931034483,97515,82224.4147157191,,39165.1245551601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,363,217,580,354,226,580,54,526,580,67,513,580,166,414,580,0,580,580,18,562,580,85,495,580,36,544,29217,35804,28729,,,,8945,,21039,70827
